name,price,url
ATQ: Su-Chi,51.00,https://www.cardkingdom.com/mtg/antiquities/su-chi
MRD: Isochron Scepter,8.50,https://www.cardkingdom.com/mtg/mirrodin/isochron-scepter
SNC: Xander's Lounge,5.50,https://www.cardkingdom.com/mtg/streets-of-new-capenna/xanders-lounge
EXO: Culling the Weak,4.70,https://www.cardkingdom.com/mtg/exodus/culling-the-weak
SNC: Spara's Headquarters,6.00,https://www.cardkingdom.com/mtg/streets-of-new-capenna/sparas-headquarters
LEA: Basalt Monolith,190.00,https://www.cardkingdom.com/mtg/alpha/basalt-monolith
2ED: Shivan Dragon,228.00,https://www.cardkingdom.com/mtg/unlimited/shivan-dragon
ULG: Deranged Hermit,22.00,https://www.cardkingdom.com/mtg/urzas-legacy/deranged-hermit
M19: Crucible of Worlds,11.00,https://www.cardkingdom.com/mtg/core-set-2019/crucible-of-worlds
MIR: Enlightened Tutor,10.00,https://www.cardkingdom.com/mtg/mirage/enlightened-tutor
IMA: Thoughtseize,13.00,https://www.cardkingdom.com/mtg/iconic-masters/thoughtseize
ICE: Mystic Remora,1.50,https://www.cardkingdom.com/mtg/ice-age/mystic-remora
CMM: Training Center,3.25,https://www.cardkingdom.com/mtg/commander-masters/training-center
CMR: Scroll Rack,10.50,https://www.cardkingdom.com/mtg/commander-legends/scroll-rack
LEA: Natural Selection,750.00,https://www.cardkingdom.com/mtg/alpha/natural-selection
CLBVAR: Black Market Connections (Extended Art),18.50,https://www.cardkingdom.com/mtg/commander-legends-battle-for-baldurs-gate-variants/black-market-connections-extended-art
Promo: Animate Dead (Judge Foil),38.00,https://www.cardkingdom.com/mtg/promotional/animate-dead-judge-foil
DKM: Necropotence (Foil),38.00,https://www.cardkingdom.com/mtg/deckmaster/necropotence-foil
Promo: Sakura-Tribe Elder (Junior APAC Series (U06)),750.00,https://www.cardkingdom.com/mtg/promotional/sakura-tribe-elder-junior-apac-series-u06
CED: Mox Sapphire (Not Tournament Legal),490.00,https://www.cardkingdom.com/mtg/collectors-ed/mox-sapphire-not-tournament-legal
"NEOVAR: Otawara, Soaring City (Borderless)",14.50,https://www.cardkingdom.com/mtg/kamigawa-neon-dynasty-variants/otawara-soaring-city-borderless
ELD: Brazen Borrower,5.50,https://www.cardkingdom.com/mtg/throne-of-eldraine/brazen-borrower
CMM: Path to Exile,0.65,https://www.cardkingdom.com/mtg/commander-masters/path-to-exile
